Durations,Credit history,Credit_Purpose,Credit amount,Installment_Rate_Percent,Other debtors / guarantors,Residence_Years,Property,Age in years,Other_Inst_Plans,Housing,Num_Existing_Credits,Job,Liable_People,Telephone,Foreign worker,Checking_Account_Status,Gender,Status,Years_Employments,Saving_Status
6,critical/other existing credit,radio/tv,1169,4,none,4,real estate,67,none,own,2,skilled,1,yes,yes,good,male,single,7 or more years,no savings
48,existing paid,radio/tv,5951,2,none,2,real estate,22,none,own,1,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,less than 100
12,critical/other existing credit,education,2096,2,none,3,real estate,49,none,own,1,unskilled_resident,2,none,yes,good,male,single,4-6 years,less than 100
42,existing paid,furniture/equipment,7882,2,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,good,male,single,4-6 years,less than 100
24,delayed previously,new car,4870,3,none,4,no known property,53,none,for free,2,skilled,2,none,yes,bad,male,single,1-3 years,less than 100
36,existing paid,education,9055,2,none,4,no known property,35,none,for free,1,unskilled_resident,2,yes,yes,good,male,single,1-3 years,no savings
24,existing paid,furniture/equipment,2835,3,none,4,life insurance,53,none,own,1,skilled,1,none,yes,good,male,single,7 or more years,500-1000
36,existing paid,used car,6948,2,none,2,car,35,none,rent,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,1-3 years,less than 100
12,existing paid,radio/tv,3059,2,none,4,real estate,61,none,own,1,unskilled_resident,1,none,yes,good,male,div/sep,4-6 years,more than 1000
30,critical/other existing credit,new car,5234,4,none,2,car,28,none,own,2,high_qualif_self_emp_mgmt,1,none,yes,bad,male,mar/wid,unemployed,less than 100
12,existing paid,new car,1295,3,none,1,car,25,none,rent,1,skilled,1,none,yes,bad,female,div/dep/mar,less than 1 year,less than 100
48,existing paid,business,4308,3,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad,female,div/dep/mar,less than 1 year,less than 100
12,existing paid,radio/tv,1567,1,none,1,car,22,none,own,1,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,less than 100
24,critical/other existing credit,new car,1199,4,none,4,car,60,none,own,2,unskilled_resident,1,none,yes,bad,male,single,7 or more years,less than 100
15,existing paid,new car,1403,2,none,4,car,28,none,rent,1,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
24,existing paid,radio/tv,1282,4,none,2,car,32,none,own,1,unskilled_resident,1,none,yes,bad,female,div/dep/mar,1-3 years,100-500
24,critical/other existing credit,radio/tv,2424,4,none,4,life insurance,53,none,own,2,skilled,1,none,yes,good,male,single,7 or more years,no savings
30,no credits/all paid,business,8072,2,none,3,car,25,bank,own,3,skilled,1,none,yes,good,male,single,less than 1 year,no savings
24,existing paid,used car,12579,4,none,2,no known property,44,none,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,female,div/dep/mar,7 or more years,less than 100
24,existing paid,radio/tv,3430,3,none,2,car,31,none,own,1,skilled,2,yes,yes,good,male,single,7 or more years,500-1000
9,critical/other existing credit,new car,2134,4,none,4,car,48,none,own,3,skilled,1,yes,yes,good,male,single,1-3 years,less than 100
6,existing paid,radio/tv,2647,2,none,3,real estate,44,none,rent,1,skilled,2,none,yes,good,male,single,1-3 years,500-1000
10,critical/other existing credit,new car,2241,1,none,3,real estate,48,none,rent,2,unskilled_resident,2,none,no,good,male,single,less than 1 year,less than 100
12,critical/other existing credit,used car,1804,3,none,4,life insurance,44,none,own,1,skilled,1,none,yes,good,male,single,less than 1 year,100-500
10,critical/other existing credit,furniture/equipment,2069,2,none,1,car,26,none,own,2,skilled,1,none,no,good,male,mar/wid,1-3 years,no savings
6,existing paid,furniture/equipment,1374,1,none,2,real estate,36,bank,own,1,unskilled_resident,1,yes,yes,good,male,single,1-3 years,less than 100
6,no credits/all paid,radio/tv,426,4,none,4,car,39,none,own,1,unskilled_resident,1,none,yes,good,male,mar/wid,7 or more years,less than 100
12,all paid,radio/tv,409,3,none,3,real estate,42,none,rent,2,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,more than 1000
